Size, Type, Time
100, "Sequential", 0.000019
100, "Parallel", 0.024708
100, "Built-in", 0.000015
100, "Sequential", 0.000010
100, "Parallel", 0.023124
100, "Built-in", 0.000013
100, "Sequential", 0.000011
100, "Parallel", 0.023766
100, "Built-in", 0.000014
100, "Sequential", 0.000011
100, "Parallel", 0.031853
100, "Built-in", 0.000011
100, "Sequential", 0.000009
100, "Parallel", 0.034183
100, "Built-in", 0.000014
500, "Sequential", 0.000067
500, "Parallel", 0.075557
500, "Built-in", 0.000076
500, "Sequential", 0.000074
500, "Parallel", 0.074382
500, "Built-in", 0.000080
500, "Sequential", 0.000066
500, "Parallel", 0.080709
500, "Built-in", 0.000079
500, "Sequential", 0.000066
500, "Parallel", 0.067974
500, "Built-in", 0.000078
500, "Sequential", 0.000061
500, "Parallel", 0.082018
500, "Built-in", 0.000078
1000, "Sequential", 0.000143
1000, "Parallel", 0.104685
1000, "Built-in", 0.000152
1000, "Sequential", 0.000145
1000, "Parallel", 0.107515
1000, "Built-in", 0.000154
1000, "Sequential", 0.000143
1000, "Parallel", 0.107676
1000, "Built-in", 0.000154
1000, "Sequential", 0.000143
1000, "Parallel", 0.102265
1000, "Built-in", 0.000155
1000, "Sequential", 0.000148
1000, "Parallel", 0.103017
1000, "Built-in", 0.000157
5000, "Sequential", 0.000778
5000, "Parallel", 0.235404
5000, "Built-in", 0.000849
5000, "Sequential", 0.000807
5000, "Parallel", 0.148270
5000, "Built-in", 0.000863
5000, "Sequential", 0.000717
5000, "Parallel", 0.247082
5000, "Built-in", 0.000864
5000, "Sequential", 0.000773
5000, "Parallel", 0.165266
5000, "Built-in", 0.000821
5000, "Sequential", 0.000860
5000, "Parallel", 0.179705
5000, "Built-in", 0.000871
10000, "Sequential", 0.001618
10000, "Parallel", 0.309712
10000, "Built-in", 0.001827
10000, "Sequential", 0.001565
10000, "Parallel", 0.233407
10000, "Built-in", 0.001684
10000, "Sequential", 0.001622
10000, "Parallel", 0.253421
10000, "Built-in", 0.001747
10000, "Sequential", 0.001735
10000, "Parallel", 0.240429
10000, "Built-in", 0.001587
10000, "Sequential", 0.001543
10000, "Parallel", 0.211804
10000, "Built-in", 0.001581
50000, "Sequential", 0.008948
50000, "Parallel", 0.295237
50000, "Built-in", 0.009221
50000, "Sequential", 0.008898
50000, "Parallel", 0.250149
50000, "Built-in", 0.009288
50000, "Sequential", 0.008790
50000, "Parallel", 0.230536
50000, "Built-in", 0.009148
50000, "Sequential", 0.008835
50000, "Parallel", 0.199929
50000, "Built-in", 0.009300
50000, "Sequential", 0.009099
50000, "Parallel", 0.168210
50000, "Built-in", 0.009157
100000, "Sequential", 0.019487
100000, "Parallel", 0.268295
100000, "Built-in", 0.019157
100000, "Sequential", 0.019315
100000, "Parallel", 0.291386
100000, "Built-in", 0.019282
100000, "Sequential", 0.018694
100000, "Parallel", 0.223895
100000, "Built-in", 0.019270
100000, "Sequential", 0.018799
100000, "Parallel", 0.206066
100000, "Built-in", 0.019497
100000, "Sequential", 0.018675
100000, "Parallel", 0.241869
100000, "Built-in", 0.019171
250000, "Sequential", 0.051383
250000, "Parallel", 0.202003
250000, "Built-in", 0.051140
250000, "Sequential", 0.051495
250000, "Parallel", 0.218414
250000, "Built-in", 0.052221
250000, "Sequential", 0.051738
250000, "Parallel", 0.244744
250000, "Built-in", 0.051200
250000, "Sequential", 0.049967
250000, "Parallel", 0.225198
250000, "Built-in", 0.051075
250000, "Sequential", 0.049787
250000, "Parallel", 0.204500
250000, "Built-in", 0.050978
500000, "Sequential", 0.106376
500000, "Parallel", 0.298000
500000, "Built-in", 0.108791
500000, "Sequential", 0.105531
500000, "Parallel", 0.270905
500000, "Built-in", 0.108631
500000, "Sequential", 0.105853
500000, "Parallel", 0.245004
500000, "Built-in", 0.107196
500000, "Sequential", 0.106424
500000, "Parallel", 0.271439
500000, "Built-in", 0.107914
500000, "Sequential", 0.106831
500000, "Parallel", 0.297734
500000, "Built-in", 0.107193
750000, "Sequential", 0.163654
750000, "Parallel", 0.222596
750000, "Built-in", 0.165021
750000, "Sequential", 0.163620
750000, "Parallel", 0.241110
750000, "Built-in", 0.165184
750000, "Sequential", 0.161830
750000, "Parallel", 0.282265
750000, "Built-in", 0.165791
750000, "Sequential", 0.163214
750000, "Parallel", 0.266893
750000, "Built-in", 0.168029
750000, "Sequential", 0.162639
750000, "Parallel", 0.254859
750000, "Built-in", 0.165677
1000000, "Sequential", 0.224326
1000000, "Parallel", 0.291514
1000000, "Built-in", 0.225902
1000000, "Sequential", 0.223143
1000000, "Parallel", 0.280774
1000000, "Built-in", 0.226916
1000000, "Sequential", 0.222767
1000000, "Parallel", 0.301004
1000000, "Built-in", 0.225288
1000000, "Sequential", 0.225858
1000000, "Parallel", 0.272744
1000000, "Built-in", 0.225648
1000000, "Sequential", 0.228831
1000000, "Parallel", 0.308303
1000000, "Built-in", 0.227166
