Size, Type, Time
100, "Sequential", 0.000010
100, "Parallel", 0.003394
100, "Built-in", 0.000014
100, "Sequential", 0.000009
100, "Parallel", 0.003229
100, "Built-in", 0.000015
100, "Sequential", 0.000008
100, "Parallel", 0.002710
100, "Built-in", 0.000014
100, "Sequential", 0.000008
100, "Parallel", 0.003194
100, "Built-in", 0.000014
100, "Sequential", 0.000007
100, "Parallel", 0.002963
100, "Built-in", 0.000015
500, "Sequential", 0.000053
500, "Parallel", 0.024524
500, "Built-in", 0.000134
500, "Sequential", 0.000053
500, "Parallel", 0.014084
500, "Built-in", 0.000065
500, "Sequential", 0.000054
500, "Parallel", 0.013759
500, "Built-in", 0.000064
500, "Sequential", 0.000054
500, "Parallel", 0.015073
500, "Built-in", 0.000064
500, "Sequential", 0.000052
500, "Parallel", 0.012723
500, "Built-in", 0.000065
1000, "Sequential", 0.000116
1000, "Parallel", 0.013735
1000, "Built-in", 0.000131
1000, "Sequential", 0.000116
1000, "Parallel", 0.023441
1000, "Built-in", 0.000128
1000, "Sequential", 0.000115
1000, "Parallel", 0.016934
1000, "Built-in", 0.000131
1000, "Sequential", 0.000116
1000, "Parallel", 0.014326
1000, "Built-in", 0.000131
1000, "Sequential", 0.000117
1000, "Parallel", 0.016262
1000, "Built-in", 0.000129
5000, "Sequential", 0.000738
5000, "Parallel", 0.066148
5000, "Built-in", 0.000754
5000, "Sequential", 0.000666
5000, "Parallel", 0.067517
5000, "Built-in", 0.000754
5000, "Sequential", 0.000685
5000, "Parallel", 0.053295
5000, "Built-in", 0.000754
5000, "Sequential", 0.000665
5000, "Parallel", 0.081510
5000, "Built-in", 0.000797
5000, "Sequential", 0.000695
5000, "Parallel", 0.085485
5000, "Built-in", 0.000951
10000, "Sequential", 0.001571
10000, "Parallel", 0.091801
10000, "Built-in", 0.001700
10000, "Sequential", 0.001458
10000, "Parallel", 0.196786
10000, "Built-in", 0.001709
10000, "Sequential", 0.001458
10000, "Parallel", 0.070330
10000, "Built-in", 0.001627
10000, "Sequential", 0.001457
10000, "Parallel", 0.079980
10000, "Built-in", 0.001623
10000, "Sequential", 0.001449
10000, "Parallel", 0.080568
10000, "Built-in", 0.001624
50000, "Sequential", 0.008648
50000, "Parallel", 0.122296
50000, "Built-in", 0.009985
50000, "Sequential", 0.015853
50000, "Parallel", 0.149814
50000, "Built-in", 0.009883
50000, "Sequential", 0.008550
50000, "Parallel", 0.125927
50000, "Built-in", 0.009357
50000, "Sequential", 0.008629
50000, "Parallel", 0.108889
50000, "Built-in", 0.009368
50000, "Sequential", 0.016391
50000, "Parallel", 0.141202
50000, "Built-in", 0.009365
100000, "Sequential", 0.026668
100000, "Parallel", 0.098782
100000, "Built-in", 0.029517
100000, "Sequential", 0.018946
100000, "Parallel", 0.100049
100000, "Built-in", 0.019869
100000, "Sequential", 0.018387
100000, "Parallel", 0.105178
100000, "Built-in", 0.029013
100000, "Sequential", 0.031695
100000, "Parallel", 0.147139
100000, "Built-in", 0.020526
100000, "Sequential", 0.021405
100000, "Parallel", 0.135154
100000, "Built-in", 0.059676
250000, "Sequential", 0.069350
250000, "Parallel", 0.106173
250000, "Built-in", 0.097424
250000, "Sequential", 0.051117
250000, "Parallel", 0.130635
250000, "Built-in", 0.101853
250000, "Sequential", 0.051206
250000, "Parallel", 0.120693
250000, "Built-in", 0.072599
250000, "Sequential", 0.047999
250000, "Parallel", 0.103214
250000, "Built-in", 0.083527
250000, "Sequential", 0.050257
250000, "Parallel", 0.156403
250000, "Built-in", 0.065406
500000, "Sequential", 0.107568
500000, "Parallel", 0.220853
500000, "Built-in", 0.150798
500000, "Sequential", 0.108063
500000, "Parallel", 0.118564
500000, "Built-in", 0.155395
500000, "Sequential", 0.103186
500000, "Parallel", 0.132079
500000, "Built-in", 0.154474
500000, "Sequential", 0.104141
500000, "Parallel", 0.326254
500000, "Built-in", 0.179188
500000, "Sequential", 0.106295
500000, "Parallel", 0.184030
500000, "Built-in", 0.167649
750000, "Sequential", 0.163967
750000, "Parallel", 0.172566
750000, "Built-in", 0.181650
750000, "Sequential", 0.170531
750000, "Parallel", 0.211916
750000, "Built-in", 0.200173
750000, "Sequential", 0.163844
750000, "Parallel", 0.112444
750000, "Built-in", 0.194926
750000, "Sequential", 0.162076
750000, "Parallel", 0.117642
750000, "Built-in", 0.215587
750000, "Sequential", 0.161958
750000, "Parallel", 0.111410
750000, "Built-in", 0.239594
1000000, "Sequential", 0.234831
1000000, "Parallel", 0.136523
1000000, "Built-in", 0.271654
1000000, "Sequential", 0.224875
1000000, "Parallel", 0.131701
1000000, "Built-in", 0.291558
1000000, "Sequential", 0.218090
1000000, "Parallel", 0.146211
1000000, "Built-in", 0.242730
1000000, "Sequential", 0.225366
1000000, "Parallel", 0.175662
1000000, "Built-in", 0.274021
1000000, "Sequential", 0.215465
1000000, "Parallel", 0.202527
1000000, "Built-in", 0.241145
