Size, Type, Time
100, "Sequential", 0.000009
100, "Parallel", 0.003188
100, "Built-in", 0.000018
100, "Sequential", 0.000008
100, "Parallel", 0.008049
100, "Built-in", 0.000017
100, "Sequential", 0.000011
100, "Parallel", 0.005327
100, "Built-in", 0.000016
100, "Sequential", 0.000032
100, "Parallel", 0.006781
100, "Built-in", 0.000015
100, "Sequential", 0.000009
100, "Parallel", 0.008139
100, "Built-in", 0.000016
500, "Sequential", 0.000063
500, "Parallel", 0.028939
500, "Built-in", 0.000070
500, "Sequential", 0.000054
500, "Parallel", 0.024346
500, "Built-in", 0.000075
500, "Sequential", 0.000054
500, "Parallel", 0.019334
500, "Built-in", 0.000076
500, "Sequential", 0.000054
500, "Parallel", 0.014826
500, "Built-in", 0.000065
500, "Sequential", 0.000062
500, "Parallel", 0.015973
500, "Built-in", 0.000075
1000, "Sequential", 0.000115
1000, "Parallel", 0.016390
1000, "Built-in", 0.000134
1000, "Sequential", 0.000130
1000, "Parallel", 0.012807
1000, "Built-in", 0.000133
1000, "Sequential", 0.000116
1000, "Parallel", 0.013738
1000, "Built-in", 0.000164
1000, "Sequential", 0.000118
1000, "Parallel", 0.012783
1000, "Built-in", 0.000136
1000, "Sequential", 0.000122
1000, "Parallel", 0.017565
1000, "Built-in", 0.000132
5000, "Sequential", 0.000713
5000, "Parallel", 0.035037
5000, "Built-in", 0.000761
5000, "Sequential", 0.000698
5000, "Parallel", 0.055342
5000, "Built-in", 0.000773
5000, "Sequential", 0.000663
5000, "Parallel", 0.083898
5000, "Built-in", 0.000751
5000, "Sequential", 0.000659
5000, "Parallel", 0.090431
5000, "Built-in", 0.000759
5000, "Sequential", 0.000661
5000, "Parallel", 0.064648
5000, "Built-in", 0.000763
10000, "Sequential", 0.001524
10000, "Parallel", 0.041821
10000, "Built-in", 0.001607
10000, "Sequential", 0.001522
10000, "Parallel", 0.033182
10000, "Built-in", 0.001594
10000, "Sequential", 0.001558
10000, "Parallel", 0.035567
10000, "Built-in", 0.001625
10000, "Sequential", 0.001565
10000, "Parallel", 0.040046
10000, "Built-in", 0.001626
10000, "Sequential", 0.001536
10000, "Parallel", 0.041163
10000, "Built-in", 0.001597
50000, "Sequential", 0.008714
50000, "Parallel", 0.131762
50000, "Built-in", 0.010397
50000, "Sequential", 0.009301
50000, "Parallel", 0.111491
50000, "Built-in", 0.009534
50000, "Sequential", 0.008697
50000, "Parallel", 0.107157
50000, "Built-in", 0.009514
50000, "Sequential", 0.008652
50000, "Parallel", 0.105692
50000, "Built-in", 0.009865
50000, "Sequential", 0.008685
50000, "Parallel", 0.116221
50000, "Built-in", 0.014018
100000, "Sequential", 0.019942
100000, "Parallel", 0.124156
100000, "Built-in", 0.028300
100000, "Sequential", 0.024416
100000, "Parallel", 0.100398
100000, "Built-in", 0.024570
100000, "Sequential", 0.026553
100000, "Parallel", 0.121259
100000, "Built-in", 0.035432
100000, "Sequential", 0.030966
100000, "Parallel", 0.089433
100000, "Built-in", 0.021763
100000, "Sequential", 0.023758
100000, "Parallel", 0.126664
100000, "Built-in", 0.030895
