Size, Type, Time
100, "Sequential", 0.000040
100, "Parallel", 0.028658
100, "Built-in", 0.000045
100, "Sequential", 0.000050
100, "Parallel", 0.027857
100, "Built-in", 0.000043
100, "Sequential", 0.000039
100, "Parallel", 0.017708
100, "Built-in", 0.000040
100, "Sequential", 0.000041
100, "Parallel", 0.016043
100, "Built-in", 0.000044
100, "Sequential", 0.000039
100, "Parallel", 0.015766
100, "Built-in", 0.000042
1000, "Sequential", 0.000459
1000, "Parallel", 0.076455
1000, "Built-in", 0.000692
1000, "Sequential", 0.000466
1000, "Parallel", 0.098631
1000, "Built-in", 0.000710
1000, "Sequential", 0.000490
1000, "Parallel", 0.091352
1000, "Built-in", 0.000718
1000, "Sequential", 0.000530
1000, "Parallel", 0.068667
1000, "Built-in", 0.000700
1000, "Sequential", 0.000575
1000, "Parallel", 0.062165
1000, "Built-in", 0.000701
10000, "Sequential", 0.006180
10000, "Parallel", 0.237892
10000, "Built-in", 0.006634
10000, "Sequential", 0.006215
10000, "Parallel", 0.248143
10000, "Built-in", 0.007084
10000, "Sequential", 0.006157
10000, "Parallel", 0.252598
10000, "Built-in", 0.007336
10000, "Sequential", 0.006567
10000, "Parallel", 0.228772
10000, "Built-in", 0.007186
10000, "Sequential", 0.006475
10000, "Parallel", 0.254458
10000, "Built-in", 0.008568
100000, "Sequential", 0.077680
100000, "Parallel", 0.207081
100000, "Built-in", 0.079805
100000, "Sequential", 0.077831
100000, "Parallel", 0.241531
100000, "Built-in", 0.080346
100000, "Sequential", 0.078141
100000, "Parallel", 0.222609
100000, "Built-in", 0.083585
100000, "Sequential", 0.084837
100000, "Parallel", 0.214357
100000, "Built-in", 0.080709
100000, "Sequential", 0.079531
100000, "Parallel", 0.192773
100000, "Built-in", 0.083059
1000000, "Sequential", 0.906624
1000000, "Parallel", 0.684488
1000000, "Built-in", 1.019417
1000000, "Sequential", 0.921558
1000000, "Parallel", 0.728101
1000000, "Built-in", 0.993058
1000000, "Sequential", 0.943917
1000000, "Parallel", 0.656820
1000000, "Built-in", 1.011449
1000000, "Sequential", 0.893818
1000000, "Parallel", 0.651609
1000000, "Built-in", 0.988771
1000000, "Sequential", 0.989697
1000000, "Parallel", 0.654211
1000000, "Built-in", 0.999389
